"tweet_text","event_type","original_informative_label","meta","tweet_id","dataset","informative","humanitarian_label","event_name","original_humanitarian_label","year"
"#earthquake Magnitude 2.1 occurred 159km NE of Cape Yakataga, Alaska 2017-08-01T01:12:02.427Z UTC #didyoufeelit? https://t.co/LUf6LH4P61","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","5b801ceb-da24-4cf8-ae12-de563ff79971","eyewitness_messages","True","","","","2017"
"Retweeted Earthquakes Tsunamis (@NewEarthquake):  5.0 earthquake, 45km SE of Adak, Alaska. 2017-07-31 19:00:26 at... https://t.co/hKiFqg3E4R","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","bf1dc623-98a0-4e7d-a2c7-092986b0d8f2","eyewitness_messages","True","","","","2017"
"I always know I need to go shopping when I've eaten all my earthquake supplies and the last quake was a 2.0","earthquake","dont_know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","e501704f-33be-41be-a0b8-545c8dc649ea","eyewitness_messages","False","","","","2017"
"Update: M2.0 #earthquake (#sismo) strikes 1 km SW of #PÄ","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","2b51c576-1678-44d7-839a-60fa4028cbf5","eyewitness_messages","True","","","","2017"
"ã€","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","30d0f3bd-438a-421f-9e60-66540db4bb06","eyewitness_messages","True","","","","2017"
"i deadass want this in my bedroom but if a earthquake happens and i'm in my bed i'm fucked https://t.co/cSiOLcKdP5","earthquake","dont_know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","0f4947a9-9f03-400d-b3e9-d726f69bcd26","eyewitness_messages","False","","","","2017"
"#earthquake (USGS) https://t.co/ifDmBNb7Vf: M 2.9 - 34km NW of Fairview, Oklahoma https://t.co/pWWulXDZxe","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","9fe966d5-d434-4169-993e-0bdbdc5aeb95","eyewitness_messages","True","","","","2017"
"7-31-17: 5.3 magnitude earthquake hits near Palaiochora, Greece https://t.co/hFe0pwOPf0","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","f3c30158-cda1-401b-8d02-cf7a535f77b0","eyewitness_messages","True","","","","2017"
"USGS reports a M0.94 #earthquake 16km SE of Mammoth Lakes, California on 8/1/17 @ 8:14:59 UTC https://t.co/R433Fo5zen #quake","earthquake","non_eyewitness","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","56ba9244-140b-4984-a282-b6b5dccff762","eyewitness_messages","True","","","","2017"
"Beavis the bum lost a trailer home and then fell asleep before waking up to an earthquake","earthquake","dont_know","{'file_name': 'earthquakes_eyewitness_annotations_2000.tsv'}","9e20fdc0-dbd5-48fb-9f24-a8baf7d9a716","eyewitness_messages","False","","","","2017"
