"tweet_id","tweet_text","url","humanitarian_label","event_type","event_name","year","dataset","meta","relevant"
"721627947832979456","The death toll is 77 in Ecuador after a 7.8 earthquake shook the South American country...… https://t.co/xh38pnjAKs","https://www.twitter.com/ErikaGarza_Tv/status/721627947832979456","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/ErikaGarza_Tv/status/721627947832979456'}","True"
"721719744869478400","Magnitude-7.8 earthquake hits Ecuador https://t.co/iiFoWwPVEU","https://www.twitter.com/rr_rr_rr_11/status/721719744869478400","other_useful_information","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/rr_rr_rr_11/status/721719744869478400'}","True"
"721706927881723904","Retweeted EarthSky (@earthskyscience):  Ecuador struck by 7.8-magnitude earthquake last night, strongest in that... https://t.co/dLswLFA2FF","https://www.twitter.com/LimAiYim/status/721706927881723905","other_useful_information","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/LimAiYim/status/721706927881723905'}","True"
"721605773445324800","#jobs # #Major earthquake rocks Ecuador, killing at least 41:              #An hotel barely stands after an ea... https://t.co/8yRVRgtP09","https://www.twitter.com/cachejobscom/status/721605773445324800","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/cachejobscom/status/721605773445324800'}","True"
"721621866394177536","#wikileaks Assange: 7.8 earthquake in #Ecuador kills at least 77--possibly hundreds. Tsunami warning given. The world ...  @FollowNewsNow","https://www.twitter.com/follownewsnow/status/721621866394177540","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/follownewsnow/status/721621866394177540'}","True"
"721566686843940864","first Japan gets rocked by a 7.4 earthquake now ecuador gets slammed with a 7.8 earthquake. The lord does not like foreigners apparently.","https://www.twitter.com/ITSBLAZE/status/721566686843940864","sympathy_and_emotional_support","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/ITSBLAZE/status/721566686843940864'}","True"
"721564624840040448","VIDEO: The moment Ecuador earthquake struck: A powerful 7.8-magnitude earthquake has killed at least 28 people... https://t.co/jEQ6JUVy2X","https://www.twitter.com/Youtube00000011/status/721564624840040449","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/Youtube00000011/status/721564624840040449'}","True"
"721600981763559424","Powerful earthquake kills at least 77 in Ecuador https://t.co/HBKT477u0G","https://www.twitter.com/UnknownComment/status/721600981763559424","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/UnknownComment/status/721600981763559424'}","True"
"721586376911806464","@BBCNews Nervous about the earthquake here in Ecuador","https://www.twitter.com/Reinilla/status/721586376911806464","sympathy_and_emotional_support","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/Reinilla/status/721586376911806464'}","True"
"721714594490626048","Powerful Ecuador Earthquake Leaves 41 People Dead: A powerful, 7.8-magnitude earthquake has shaken Ecuador’s n... https://t.co/YEeXaHMmZF","https://www.twitter.com/empireonenews/status/721714594490626052","injured_or_dead_people","earthquake","Ecuador Earthquake 2016","2016","Ecuador_Earthquake_2016","{'file_name': '2016_ecuador_eq_en.csv', 'url': 'https://www.twitter.com/empireonenews/status/721714594490626052'}","True"
